"id","price_doc"
30474,3189375.71582586
30475,5274062.02858891
30476,5089159.25625201
30477,7675012.69245238
30478,4879153.1703279
30479,10758076.4675223
30480,5150224.3426456
30481,5199130.32488232
30482,2726635.04376273
30483,3594283.87873236
30484,8303420.8404308
30485,4830923.56864837
30486,3411009.82976481
30487,3292306.04440487
30488,4595007.1599781
30489,7798843.06251864
30490,25428682.5959397
30491,7675810.57079264
30492,4648716.23159625
30493,7721030.00462298
30494,6573142.08453578
30495,8336931.29708294
30496,5569508.47709723
30497,14080467.1519795
30498,3902862.22728569
30499,8356061.26973548
30500,13229099.4472985
30501,7960531.29533776
30502,3016172.87092024
30503,18986790.0523146
30504,11596858.1201291
30505,10347717.3987875
30506,306512.449396555
30507,4295738.63997343
30508,6044967.94897358
30509,15003683.6912947
30510,10645550.3486917
30511,7488851.21645532
30512,6035760.13724037
30513,5175869.16822272
30514,306072.094940371
30515,10366386.6742805
30516,5773903.46607731
30517,12352564.3585161
30518,13522070.3302594
30519,4743921.16258927
30520,8532267.14948581
30521,6400453.2798151
30522,6341765.51983114
30523,5860234.69338107
30524,8669758.34920195
30525,4313993.63773019
30526,4391926.25385169
30527,6299771.95418611
30528,9872611.79392608
30529,7046793.45649349
30530,3088117.16453935
30531,8378720.04336265
30532,5081967.88229776
30533,11511635.9095758
30534,6524350.82707544
30535,10468579.6413638
30536,7035086.925474
30537,9413435.74174226
30538,5090271.46858333
30539,8694262.46399534
30540,10592804.9501911
30541,20861805.7337251
30542,242033.777201009
30543,5679936.58047763
30544,8082232.70772612
30545,7591084.32078213
30546,4432894.92990892
30547,11141840.6240759
30548,7006284.8402167
30549,2968302.36333852
30550,2797020.80890925
30551,4084239.30923385
30552,239700.836727067
30553,4800590.4271439
30554,11976503.0912437
30555,6835704.60155767
30556,10591064.8450696
30557,12823205.6093528
30558,7316947.19008463
30559,11926427.3660671
30560,6361346.89803736
30561,6044340.15077693
30562,5554756.47116087
30563,3913631.20909413
30564,7511103.94280765
30565,8000876.28083609
30566,10820262.1929523
30567,241733.417988702
30568,8097439.18139405
30569,7583146.10853326
30570,8116835.64579083
30571,9372997.46217043
30572,4408317.80550866
30573,8266384.86468394
30574,4104090.49868376
30575,10686376.5525803
30576,3292306.04440487
30577,12465933.9195756
30578,310998.118302189
30579,5803159.55000537
30580,7084319.2150783
30581,3947477.74433159
30582,13229301.0538613
30583,6524350.82707544
30584,3954351.06600293
30585,6332144.40507664
30586,8200424.30973088
30587,6066002.96717953
30588,4654770.18249717
30589,15114134.8658391
30590,11144214.4904392
30591,2576360.11254862
30592,12248594.1146214
30593,5580584.98712778
30594,7363364.84877279
30595,3421183.75153209
30596,77029.4047535847
30597,8266384.86468394
30598,10677323.5706595
30599,6037685.69823293
30600,4893857.55955163
30601,12248912.2358471
30602,242033.777201009
30603,14233347.2043871
30604,10576051.7748615
30605,8468991.40990693
30606,3437246.53749309
30607,8017496.7203455
30608,3709825.69792997
30609,9003751.51729116
30610,5145523.27583952
30611,6044967.94897358
30612,10712248.5162209
30613,9866448.92100648
30614,19092694.0933331
30615,5020025.80180156
30616,6090174.22241822
30617,4682644.06554436
30618,7689740.35114528
30619,3803437.88033981
30620,298548.753186147
30621,6456826.97877127
30622,2528446.5033311
30623,8014201.5134237
30624,6829389.97352728
30625,6238664.18670163
30626,8406235.72541378
30627,10358288.0616252
30628,8300328.1816414
30629,5974215.89315957
30630,4007064.44273331
30631,5642101.29493053
30632,5811377.74027418
30633,1742763.1023072
30634,10506853.6623963
30635,10665397.5144852
30636,4815893.80059875
30637,10673346.73759
30638,8772362.40684358
30639,5229548.23586669
30640,5691022.29068508
30641,9095341.24477218
